valid score sequences on n=8: 167
  score [1, 1, 2, 2, 4, 6, 6, 6]: 1 iso classes  (939.9s elapsed)
  score [1, 1, 2, 2, 5, 5, 5, 7]: 1 iso classes  (952.1s elapsed)
  score [1, 1, 2, 2, 5, 5, 6, 6]: 1 iso classes  (964.2s elapsed)
  score [1, 1, 2, 3, 3, 5, 6, 7]: 2 iso classes  (976.4s elapsed)
  score [1, 1, 2, 3, 3, 6, 6, 6]: 2 iso classes  (988.7s elapsed)
  score [1, 1, 2, 3, 4, 4, 6, 7]: 4 iso classes  (1000.9s elapsed)
  score [1, 1, 2, 3, 4, 5, 5, 7]: 8 iso classes  (1013.0s elapsed)
  score [1, 1, 2, 3, 4, 5, 6, 6]: 16 iso classes  (1025.3s elapsed)
  score [1, 1, 2, 3, 5, 5, 5, 6]: 12 iso classes  (1037.6s elapsed)
  score [1, 1, 2, 4, 4, 4, 5, 7]: 6 iso classes  (1050.0s elapsed)
  score [1, 1, 2, 4, 4, 4, 6, 6]: 6 iso classes  (1062.4s elapsed)
  score [1, 1, 2, 4, 4, 5, 5, 6]: 24 iso classes  (1074.9s elapsed)
  score [1, 1, 2, 4, 5, 5, 5, 5]: 8 iso classes  (1087.5s elapsed)
  score [1, 1, 3, 3, 3, 4, 6, 7]: 3 iso classes  (1099.8s elapsed)
  score [1, 1, 3, 3, 3, 5, 5, 7]: 3 iso classes  (1112.0s elapsed)
  score [1, 1, 3, 3, 3, 5, 6, 6]: 6 iso classes  (1124.3s elapsed)
  score [1, 1, 3, 3, 4, 4, 5, 7]: 12 iso classes  (1136.7s elapsed)
  score [1, 1, 3, 3, 4, 4, 6, 6]: 12 iso classes  (1148.9s elapsed)
  score [1, 1, 3, 3, 4, 5, 5, 6]: 41 iso classes  (1161.2s elapsed)
  score [1, 1, 3, 3, 5, 5, 5, 5]: 7 iso classes  (1173.5s elapsed)
  score [1, 1, 3, 4, 4, 4, 4, 7]: 4 iso classes  (1185.7s elapsed)
  score [1, 1, 3, 4, 4, 4, 5, 6]: 47 iso classes  (1197.9s elapsed)
  score [1, 1, 3, 4, 4, 5, 5, 5]: 37 iso classes  (1210.1s elapsed)
  score [1, 1, 4, 4, 4, 4, 4, 6]: 5 iso classes  (1222.3s elapsed)
  score [1, 1, 4, 4, 4, 4, 5, 5]: 15 iso classes  (1234.5s elapsed)
  score [1, 2, 2, 2, 3, 5, 6, 7]: 3 iso classes  (1246.8s elapsed)
  score [1, 2, 2, 2, 3, 6, 6, 6]: 3 iso classes  (1259.0s elapsed)
  score [1, 2, 2, 2, 4, 4, 6, 7]: 3 iso classes  (1271.3s elapsed)
  score [1, 2, 2, 2, 4, 5, 5, 7]: 6 iso classes  (1283.5s elapsed)
  score [1, 2, 2, 2, 4, 5, 6, 6]: 12 iso classes  (1295.8s elapsed)
  score [1, 2, 2, 2, 5, 5, 5, 6]: 9 iso classes  (1308.1s elapsed)
  score [1, 2, 2, 3, 3, 4, 6, 7]: 12 iso classes  (1320.7s elapsed)
  score [1, 2, 2, 3, 3, 5, 5, 7]: 12 iso classes  (1332.9s elapsed)
  score [1, 2, 2, 3, 3, 5, 6, 6]: 24 iso classes  (1345.0s elapsed)
  score [1, 2, 2, 3, 4, 4, 5, 7]: 41 iso classes  (1357.2s elapsed)
  score [1, 2, 2, 3, 4, 4, 6, 6]: 41 iso classes  (1369.3s elapsed)
  score [1, 2, 2, 3, 4, 5, 5, 6]: 140 iso classes  (1381.5s elapsed)
  score [1, 2, 2, 3, 5, 5, 5, 5]: 24 iso classes  (1393.7s elapsed)
  score [1, 2, 2, 4, 4, 4, 4, 7]: 7 iso classes  (1405.9s elapsed)
  score [1, 2, 2, 4, 4, 4, 5, 6]: 80 iso classes  (1418.1s elapsed)
  score [1, 2, 2, 4, 4, 5, 5, 5]: 63 iso classes  (1430.3s elapsed)
  score [1, 2, 3, 3, 3, 3, 6, 7]: 4 iso classes  (1442.4s elapsed)
  score [1, 2, 3, 3, 3, 4, 5, 7]: 47 iso classes  (1454.6s elapsed)
